N;Superficie_m2;Dormitorios;Bao;Cocina;Garaje;Lavandera;Zona;Precio
97;180;2;3;1;SI;SI;ACHUMANI;185000
110;180;3;4;1;SI;SI;ACHUMANI;185000
74;157;2;3;1;SI;NO;MIRAFLORES;189490
113;168;3;1;1;SI;SI;ACHUMANI;200000
90;177;3;3;1;SI;SI;OBRAJES;205000
103;200;3;3;1;SI;SI;ALTO CALACOTO;210000
30;245;3;2;1;SI;SI;COTA COTA;220000
14;150;3;3;1;SI;SI;ALTO CALACOTO;230000
138;240;4;3;1;SI;SI;COTA COTA;230000
2;158;3;3;1;SI;SI;CALACOTO;233000
100;145;2;3;1;SI;NO;MIRAFLORES;243100
116;166;3;3;1;SI;SI;ACHUMANI;248895
26;163;3;4;1;SI;SI;COTA COTA;250000
130;192;2;1;1;SI;SI;ACHUMANI;251100
139;191;3;3;1;SI;SI;ACHUMANI;251100
118;333;4;2;1;SI;SI;ACHUMANI;271700
73;199;3;3;1;SI;SI;ACHUMANI;280000
86;206;3;4;1;SI;SI;OBRAJES;288000
39;220;3;3;1;SI;SI;CALACOTO;315000
62;232;4;3;1;SI;SI;CALACOTO;315000
11;220;3;4;1;SI;SI;ALTO CALACOTO;320000
131;221;4;3;1;SI;SI;CALACOTO;350000
128;400;4;2;1;SI;SI;ACHUMANI;432000
104;400;1;1;1;SI;SI;ACHUMANI;640000
