N;Superficie  (m2);Dormitorios;Bao;Cocina;Garaje;Lavandera;Zona;Precio($);Fuente
89;130;3;3;1;SI;SI;ALTO CALACOTO;115000;INFOCASAS
90;177;3;3;1;SI;SI;OBRAJES;205000;ULTRA CASAS
91;44;1;2;1;NO;NO;OBRAJES;49000;ULTRA CASAS
92;126;3;4;1;SI;SI;COTA COTA;110000;ULTRA CASAS
93;100;3;3;1;SI;SI;MIRAFLORES;135000;INFOCASAS
94;146;4;3;1;SI;NO;MIRAFLORES;185000;INFOCASAS
95;122;3;2;1;NO;SI;ALTO OBRAJES;105000;ULTRA CASAS
96;86;1;2;1;SI;SI;MIRAFLORES;100077;INFOCASAS
97;180;2;3;1;SI;SI;ACHUMANI;185000;INFOCASAS
98;75;1;2;1;SI;NO;MIRAFLORES;103470;INFOCASAS
99;125;3;4;1;SI;SI;OBRAJES;140000;ULTRA CASAS
100;145;2;3;1;SI;NO;MIRAFLORES;243100;INFOCASAS
101;117;3;2;1;SI;NO;MIRAFLORES;130000;INFOCASAS
102;113;1;2;1;SI;SI;MIRAFLORES;179000;INFOCASAS
103;200;3;3;1;SI;SI;ALTO CALACOTO;210000;INFOCASAS
104;400;1;1;1;SI;SI;ACHUMANI;640000;ULTRA CASAS
105;160;2;1;1;SI;SI;ACHUMANI;121720;INFOCASAS
106;80;2;2;1;NO;SI;ALTO CALACOTO;108000;INFOCASAS
107;49;1;2;1;NO;NO;COTA COTA;45500;ULTRA CASAS
108;100;2;3;1;NO;NO;ACHUMANI;89000;ULTRA CASAS
109;61;1;1;1;NO;SI;MIRAFLORES;68000;INFOCASAS
110;180;3;4;1;SI;SI;ACHUMANI;185000;ULTRA CASAS
111;100;3;2;1;NO;SI;COTA COTA;98100;ULTRA CASAS
112;149;3;1;1;SI;SI;COTA COTA;170000;ULTRA CASAS
113;168;3;1;1;SI;SI;ACHUMANI;200000;ULTRA CASAS
114;147;2;1;1;SI;SI;ACHUMANI;135000;ULTRA CASAS
115;126;3;4;1;SI;SI;COTA COTA;110000;ULTRA CASAS
